ATR-BASED VOLUME IMBALANCE STRATEGY
Period: Nov 1 2025 - Jan 28 2026 (3 months)

FORMULA:
Reference Candle,Volume >= 3x average of last 5 candles
Day Range Filter,Day Range >= X * ATR (where X is multiplier)
Entry,Price > Ref High AND Volume > Ref Volume
Stop Loss,1% below entry
Take Profit,4% above entry
Trailing,At +2% SL->BE | At +3% SL->+1%

ATR MULTIPLIER COMPARISON
ATR Mult,Total Setups,Executed Trades,Wins,Locked,Breakeven,Losses,Win Rate,Profit Rate,Final Capital,Return
1,1837,235,33,21,24,152,14.0%,23.0%,$8.46,-91.5%
1.5,1828,235,33,21,24,152,14.0%,23.0%,$8.46,-91.5%
2,1814,234,33,21,24,151,14.1%,23.1%,$9.40,-90.6%
2.5,1803,233,33,21,24,150,14.2%,23.2%,$10.45,-89.6%
3,1783,235,32,22,25,151,13.6%,23.0%,$7.39,-92.6%
3.5,1766,235,32,22,25,151,13.6%,23.0%,$7.39,-92.6%
4,1752,235,32,22,25,151,13.6%,23.0%,$7.39,-92.6%

BEST MULTIPLIER: 2.5x ATR

TRADE DETAILS (Best Multiplier)
Trade,Symbol,Date,Day Range (ATR),Entry Price,Exit Price,Result,P&L %,Capital
115,NEARUSDT,2025-12-08,14.39,1.7677659999999997,1.7500883399999998,LOSS,-1.00,38.95
116,ETHUSDT,2025-12-09,5.87,3112.2291199999995,3236.7182847999998,WIN_FULL,4.00,54.53
117,DOGEUSDT,2025-12-09,10.73,0.14471457,0.15050315279999998,WIN_FULL,4.00,76.34
118,DOGEUSDT,2025-12-10,5.47,0.14726711999999997,0.14579444879999998,LOSS,-1.00,68.70
119,DOGEUSDT,2025-12-10,7.73,0.14690676,0.14543769239999998,LOSS,-1.00,61.83
120,DOGEUSDT,2025-12-10,8.47,0.14575560999999998,0.14575560999999998,BREAKEVEN,0.00,61.83
121,NEARUSDT,2025-12-10,4.95,1.8248229999999999,1.8065747699999999,LOSS,-1.00,55.65
122,NEARUSDT,2025-12-11,28.00,1.6866849999999998,1.6698181499999998,LOSS,-1.00,50.08
123,NEARUSDT,2025-12-11,32.67,1.6576559999999998,1.6410794399999997,LOSS,-1.00,45.08
124,ETHUSDT,2025-12-11,10.58,3182.9797999999996,3182.9797999999996,BREAKEVEN,0.00,45.08
125,NEARUSDT,2025-12-12,28.00,1.619618,1.68440272,WIN_FULL,4.00,63.11
126,DOGEUSDT,2025-12-13,14.20,0.13988975,0.1384908525,LOSS,-1.00,56.79
127,NEARUSDT,2025-12-13,23.94,1.6556539999999997,1.6390974599999997,LOSS,-1.00,51.12
128,DOGEUSDT,2025-12-14,9.03,0.13832819,0.13694490809999998,LOSS,-1.00,46.00
129,DOGEUSDT,2025-12-14,12.85,0.13777764,0.1363998636,LOSS,-1.00,41.40
130,DOGEUSDT,2025-12-14,10.39,0.13702688999999998,0.13565662109999999,LOSS,-1.00,37.26
131,ETHUSDT,2025-12-14,12.81,3098.7556599999994,3067.7681033999993,LOSS,-1.00,33.54
132,DOGEUSDT,2025-12-14,26.44,0.13434421,0.13300076789999998,LOSS,-1.00,30.18
133,NEARUSDT,2025-12-15,2.93,1.6076059999999999,1.6076059999999999,BREAKEVEN,0.00,30.18
134,DOGEUSDT,2025-12-15,22.78,0.13723709999999997,0.13586472899999996,LOSS,-1.00,27.16
135,NEARUSDT,2025-12-15,29.11,1.54154,1.5261246,LOSS,-1.00,24.45
136,NEARUSDT,2025-12-16,6.31,1.5365349999999998,1.5211696499999998,LOSS,-1.00,22.00
137,DOGEUSDT,2025-12-16,15.59,0.1303302,0.129026898,LOSS,-1.00,19.80
138,DOGEUSDT,2025-12-16,6.45,0.13180166999999998,0.13048365329999997,LOSS,-1.00,17.82
