DOGEUSDT 15m - EVERY CANDLE ANALYZED (Last 7 Days)
Entry Condition: 5-candle return < -2% AND position in range < 30%

Candle #,Date/Time,Open,High,Low,Close,5c Return %,10c High,10c Low,Position in Range %,Drop OK?,Position OK?,SIGNAL?
131,2026-01-22 03:00:00,0.127020,0.127500,0.127010,0.127420,-0.20%,0.127860,0.126790,58.9%,NO,NO,
132,2026-01-22 03:15:00,0.127420,0.127420,0.126920,0.127000,-0.45%,0.127860,0.126840,15.7%,NO,YES,
133,2026-01-22 03:30:00,0.127000,0.127000,0.126370,0.126740,-0.69%,0.127860,0.126840,-9.8%,NO,YES,
134,2026-01-22 03:45:00,0.126740,0.126880,0.126690,0.126840,-0.42%,0.127860,0.126370,31.5%,NO,NO,
135,2026-01-22 04:00:00,0.126840,0.127300,0.126820,0.126950,-0.05%,0.127860,0.126370,38.9%,NO,NO,
136,2026-01-22 04:15:00,0.126960,0.127140,0.126840,0.127110,-0.24%,0.127860,0.126370,49.7%,NO,NO,
137,2026-01-22 04:30:00,0.127110,0.127320,0.126970,0.127300,0.24%,0.127860,0.126370,62.4%,NO,NO,
138,2026-01-22 04:45:00,0.127300,0.127370,0.127180,0.127180,0.35%,0.127840,0.126370,55.1%,NO,NO,
139,2026-01-22 05:00:00,0.127190,0.127280,0.127100,0.127140,0.24%,0.127630,0.126370,61.1%,NO,NO,
140,2026-01-22 05:15:00,0.127150,0.127200,0.126820,0.126900,-0.04%,0.127500,0.126370,46.9%,NO,NO,
141,2026-01-22 05:30:00,0.126900,0.127010,0.126830,0.126870,-0.19%,0.127500,0.126370,44.2%,NO,NO,
142,2026-01-22 05:45:00,0.126860,0.127130,0.126760,0.127000,-0.24%,0.127420,0.126370,60.0%,NO,NO,
143,2026-01-22 06:00:00,0.127010,0.127140,0.126680,0.126850,-0.26%,0.127370,0.126370,48.0%,NO,NO,
144,2026-01-22 06:15:00,0.126860,0.127020,0.126360,0.126390,-0.59%,0.127370,0.126680,-42.0%,NO,YES,
145,2026-01-22 06:30:00,0.126390,0.126850,0.126350,0.126780,-0.09%,0.127370,0.126360,41.6%,NO,NO,
146,2026-01-22 06:45:00,0.126780,0.126950,0.126600,0.126720,-0.12%,0.127370,0.126350,36.3%,NO,NO,
147,2026-01-22 07:00:00,0.126730,0.126780,0.126380,0.126390,-0.48%,0.127370,0.126350,3.9%,NO,YES,
148,2026-01-22 07:15:00,0.126380,0.126470,0.125930,0.126190,-0.52%,0.127370,0.126350,-15.7%,NO,YES,
149,2026-01-22 07:30:00,0.126190,0.126500,0.126050,0.126380,-0.01%,0.127280,0.125930,33.3%,NO,NO,
150,2026-01-22 07:45:00,0.126390,0.126390,0.126020,0.126050,-0.58%,0.127200,0.125930,9.4%,NO,YES,
151,2026-01-22 08:00:00,0.126040,0.126460,0.125970,0.126090,-0.50%,0.127140,0.125930,13.2%,NO,YES,
152,2026-01-22 08:15:00,0.126090,0.126250,0.125870,0.125980,-0.32%,0.127140,0.125930,4.1%,NO,YES,
153,2026-01-22 08:30:00,0.125970,0.125970,0.125680,0.125770,-0.33%,0.127140,0.125870,-7.9%,NO,YES,
154,2026-01-22 08:45:00,0.125770,0.126420,0.125680,0.126410,0.02%,0.127020,0.125680,54.5%,NO,NO,
155,2026-01-22 09:00:00,0.126420,0.126760,0.126230,0.126660,0.48%,0.126950,0.125680,77.2%,NO,NO,
156,2026-01-22 09:15:00,0.126660,0.126820,0.126440,0.126670,0.46%,0.126950,0.125680,78.0%,NO,NO,
