DOGEUSDT 15m - EVERY CANDLE ANALYZED (Last 7 Days)
Entry Condition: 5-candle return < -2% AND position in range < 30%

Candle #,Date/Time,Open,High,Low,Close,5c Return %,10c High,10c Low,Position in Range %,Drop OK?,Position OK?,SIGNAL?
157,2026-01-22 09:30:00,0.126670,0.127110,0.126670,0.126990,0.80%,0.126820,0.125680,114.9%,NO,NO,
158,2026-01-22 09:45:00,0.127000,0.127100,0.126840,0.126910,0.91%,0.127110,0.125680,86.0%,NO,NO,
159,2026-01-22 10:00:00,0.126910,0.126950,0.126690,0.126740,0.26%,0.127110,0.125680,74.1%,NO,NO,
160,2026-01-22 10:15:00,0.126740,0.126780,0.126500,0.126590,-0.06%,0.127110,0.125680,63.6%,NO,NO,
161,2026-01-22 10:30:00,0.126580,0.126720,0.126380,0.126620,-0.04%,0.127110,0.125680,65.7%,NO,NO,
162,2026-01-22 10:45:00,0.126620,0.126670,0.126460,0.126540,-0.35%,0.127110,0.125680,60.1%,NO,NO,
163,2026-01-22 11:00:00,0.126540,0.126540,0.126130,0.126170,-0.58%,0.127110,0.125680,34.3%,NO,NO,
164,2026-01-22 11:15:00,0.126170,0.126260,0.125670,0.125850,-0.70%,0.127110,0.125680,11.9%,NO,YES,
165,2026-01-22 11:30:00,0.125840,0.125990,0.125680,0.125830,-0.60%,0.127110,0.125670,11.1%,NO,YES,
166,2026-01-22 11:45:00,0.125830,0.125880,0.125720,0.125800,-0.65%,0.127110,0.125670,9.0%,NO,YES,
167,2026-01-22 12:00:00,0.125800,0.125930,0.125670,0.125780,-0.60%,0.127110,0.125670,7.6%,NO,YES,
168,2026-01-22 12:15:00,0.125780,0.125980,0.125540,0.125750,-0.33%,0.127100,0.125670,5.6%,NO,YES,
169,2026-01-22 12:30:00,0.125760,0.125900,0.125620,0.125700,-0.12%,0.126950,0.125540,11.3%,NO,YES,
170,2026-01-22 12:45:00,0.125700,0.125750,0.125550,0.125570,-0.21%,0.126780,0.125540,2.4%,NO,YES,
171,2026-01-22 13:00:00,0.125570,0.125690,0.125420,0.125520,-0.22%,0.126720,0.125540,-1.7%,NO,YES,
172,2026-01-22 13:15:00,0.125520,0.126060,0.125520,0.126020,0.19%,0.126670,0.125420,48.0%,NO,NO,
173,2026-01-22 13:30:00,0.126020,0.126430,0.125020,0.125180,-0.45%,0.126540,0.125420,-21.4%,NO,YES,
174,2026-01-22 13:45:00,0.125170,0.125460,0.124950,0.125370,-0.26%,0.126430,0.125020,24.8%,NO,YES,
175,2026-01-22 14:00:00,0.125360,0.125610,0.125090,0.125510,-0.05%,0.126430,0.124950,37.8%,NO,NO,
176,2026-01-22 14:15:00,0.125510,0.125510,0.124740,0.124850,-0.53%,0.126430,0.124950,-6.8%,NO,YES,
177,2026-01-22 14:30:00,0.124860,0.125320,0.124340,0.124790,-0.98%,0.126430,0.124740,3.0%,NO,YES,
178,2026-01-22 14:45:00,0.124800,0.124850,0.123880,0.124220,-0.77%,0.126430,0.124340,-5.7%,NO,YES,
179,2026-01-22 15:00:00,0.124220,0.124470,0.123810,0.124180,-0.95%,0.126430,0.123880,11.8%,NO,YES,
180,2026-01-22 15:15:00,0.124180,0.124490,0.123220,0.123340,-1.73%,0.126430,0.123810,-17.9%,NO,YES,
181,2026-01-22 15:30:00,0.123340,0.124280,0.123120,0.124230,-0.50%,0.126430,0.123220,31.5%,NO,NO,
182,2026-01-22 15:45:00,0.124230,0.124990,0.124010,0.124220,-0.46%,0.126430,0.123120,33.2%,NO,NO,
183,2026-01-22 16:00:00,0.124230,0.124690,0.124180,0.124330,0.09%,0.126430,0.123120,36.6%,NO,NO,
184,2026-01-22 16:15:00,0.124330,0.124900,0.124050,0.124660,0.39%,0.125610,0.123120,61.8%,NO,NO,
185,2026-01-22 16:30:00,0.124660,0.125160,0.124370,0.125060,1.39%,0.125610,0.123120,77.9%,NO,NO,
186,2026-01-22 16:45:00,0.125050,0.125520,0.124940,0.125030,0.64%,0.125510,0.123120,79.9%,NO,NO,
187,2026-01-22 17:00:00,0.125030,0.125360,0.124880,0.124900,0.55%,0.125520,0.123120,74.2%,NO,NO,
188,2026-01-22 17:15:00,0.124910,0.125170,0.124410,0.124570,0.19%,0.125520,0.123120,60.4%,NO,NO,
189,2026-01-22 17:30:00,0.124580,0.124810,0.124420,0.124760,0.08%,0.125520,0.123120,68.3%,NO,NO,
190,2026-01-22 17:45:00,0.124760,0.125400,0.124760,0.125210,0.12%,0.125520,0.123120,87.1%,NO,NO,
191,2026-01-22 18:00:00,0.125210,0.125210,0.124700,0.124700,-0.26%,0.125520,0.123120,65.8%,NO,NO,
192,2026-01-22 18:15:00,0.124700,0.125220,0.124620,0.124790,-0.09%,0.125520,0.124010,51.7%,NO,NO,
193,2026-01-22 18:30:00,0.124790,0.125160,0.124710,0.124720,0.12%,0.125520,0.124050,45.6%,NO,NO,
194,2026-01-22 18:45:00,0.124730,0.124820,0.124120,0.124230,-0.42%,0.125520,0.124050,12.2%,NO,YES,
195,2026-01-22 19:00:00,0.124230,0.124460,0.123810,0.124350,-0.69%,0.125520,0.124120,16.4%,NO,YES,
196,2026-01-22 19:15:00,0.124350,0.124540,0.124050,0.124340,-0.29%,0.125520,0.123810,31.0%,NO,NO,
197,2026-01-22 19:30:00,0.124350,0.125040,0.124350,0.124960,0.14%,0.125400,0.123810,72.3%,NO,NO,
198,2026-01-22 19:45:00,0.124960,0.125120,0.124600,0.124690,-0.02%,0.125400,0.123810,55.3%,NO,NO,
199,2026-01-22 20:00:00,0.124690,0.124750,0.124430,0.124720,0.39%,0.125400,0.123810,57.2%,NO,NO,
200,2026-01-22 20:15:00,0.124720,0.124830,0.123670,0.123820,-0.43%,0.125400,0.123810,0.6%,NO,YES,
201,2026-01-22 20:30:00,0.123820,0.124130,0.123590,0.123800,-0.43%,0.125220,0.123670,8.4%,NO,YES,
202,2026-01-22 20:45:00,0.123810,0.124060,0.123780,0.123970,-0.79%,0.125220,0.123590,23.3%,NO,YES,
203,2026-01-22 21:00:00,0.123980,0.124370,0.123880,0.124210,-0.38%,0.125160,0.123590,39.5%,NO,NO,
204,2026-01-22 21:15:00,0.124210,0.124520,0.124150,0.124320,-0.32%,0.125120,0.123590,47.7%,NO,NO,
205,2026-01-22 21:30:00,0.124330,0.124360,0.123920,0.123930,0.09%,0.125120,0.123590,22.2%,NO,YES,
206,2026-01-22 21:45:00,0.123940,0.124130,0.123770,0.123950,0.12%,0.125120,0.123590,23.5%,NO,YES,
207,2026-01-22 22:00:00,0.123960,0.124350,0.123800,0.124130,0.13%,0.125120,0.123590,35.3%,NO,NO,
208,2026-01-22 22:15:00,0.124130,0.124250,0.123910,0.124060,-0.12%,0.125120,0.123590,30.7%,NO,NO,
209,2026-01-22 22:30:00,0.124050,0.124170,0.123740,0.124110,-0.17%,0.124830,0.123590,41.9%,NO,NO,
210,2026-01-22 22:45:00,0.124110,0.124280,0.124080,0.124200,0.22%,0.124830,0.123590,49.2%,NO,NO,
211,2026-01-22 23:00:00,0.124200,0.124210,0.123660,0.124140,0.15%,0.124520,0.123590,59.1%,NO,NO,
212,2026-01-22 23:15:00,0.124150,0.124350,0.124010,0.124230,0.08%,0.124520,0.123660,66.3%,NO,NO,
213,2026-01-22 23:30:00,0.124240,0.124440,0.124020,0.124080,0.02%,0.124520,0.123660,48.8%,NO,NO,
214,2026-01-22 23:45:00,0.124080,0.124320,0.124080,0.124310,0.16%,0.124520,0.123660,75.6%,NO,NO,
215,2026-01-23 00:00:00,0.124300,0.124430,0.124170,0.124370,0.14%,0.124440,0.123660,91.0%,NO,NO,
216,2026-01-23 00:15:00,0.124360,0.124440,0.124180,0.124250,0.09%,0.124440,0.123660,75.6%,NO,NO,
217,2026-01-23 00:30:00,0.124260,0.124340,0.123960,0.124250,0.02%,0.124440,0.123660,75.6%,NO,NO,
218,2026-01-23 00:45:00,0.124250,0.124520,0.124210,0.124310,0.19%,0.124440,0.123660,83.3%,NO,NO,
219,2026-01-23 01:00:00,0.124310,0.124570,0.124310,0.124410,0.08%,0.124520,0.123660,87.2%,NO,NO,
220,2026-01-23 01:15:00,0.124410,0.124810,0.124410,0.124810,0.35%,0.124570,0.123660,126.4%,NO,NO,
221,2026-01-23 01:30:00,0.124810,0.125250,0.124800,0.124970,0.58%,0.124810,0.123660,113.9%,NO,NO,
