VOLUME IMBALANCE WITH SUPPORT-BASED STOP-LOSS
Period: Dec 1 2025 - Jan 28 2026

STRATEGY RULES
Reference Candle,Volume >= 3x of last 5 candles
Entry,Price > Ref High AND Volume > Ref Volume
Stop Loss,At consolidation low (support)
Max SL,1.5%
Take Profit,Risk x 4
Trailing,At 2:1 SL->BE | At 3:1 SL->+1:1

TRADE DETAILS
Trade,Symbol,Date,Entry Price,Support (SL),Risk %,TP,Result,P&L %,Capital
98,DOGEUSDT,2025-12-29,0.12609596999999997,0.12531456,0.62,0.1292216099999999,BREAKEVEN,0.00,147.16
99,ETHUSDT,2025-12-29,2966.5635999999995,2956.5405,0.34,3006.655999999997,LOSS,-0.34,142.19
100,ETHUSDT,2025-12-29,2941.10817,2914.1629199999998,0.92,3048.889170000001,LOSS,-0.92,129.16
101,DOGEUSDT,2025-12-29,0.12355342999999998,0.12260727,0.77,0.1273380699999999,LOSS,-0.77,119.27
102,ETHUSDT,2025-12-29,2942.2593199999997,2927.97909,0.49,2999.380239999999,LOSS,-0.49,113.48
103,ETHUSDT,2025-12-30,2936.39346,2920.55652,0.54,2999.7412199999985,LOSS,-0.54,107.36
104,ETHUSDT,2025-12-30,2942.7898499999997,2916.52056,0.89,3047.8670099999986,WIN_LOCKED,0.89,116.94
105,NEARUSDT,2025-12-31,1.4874859999999999,1.477521,0.67,1.527345999999999,WIN_FULL,2.68,148.28
106,DOGEUSDT,2026-01-01,0.11857845999999998,0.11814174000000001,0.37,0.12032533999999989,LOSS,-0.37,142.82
107,DOGEUSDT,2026-01-01,0.11864852999999999,0.11784204,0.68,0.12187448999999996,WIN_FULL,2.72,181.65
108,ETHUSDT,2026-01-01,2985.94296,2974.76226,0.37,3030.6657599999994,WIN_FULL,1.50,208.86
109,NEARUSDT,2026-01-02,1.6456439999999997,1.635363,0.62,1.686767999999999,LOSS,-0.62,195.81
110,DOGEUSDT,2026-01-02,0.12880867999999998,0.12759228,0.94,0.1336742799999999,WIN_FULL,3.78,269.77
111,ETHUSDT,2026-01-02,3058.055,3037.24971,0.68,3141.2761599999994,LOSS,-0.68,251.42
112,NEARUSDT,2026-01-02,1.6346329999999998,1.612386,1.36,1.7236209999999987,TIMEOUT,4.86,373.49
113,ETHUSDT,2026-01-04,3139.0859499999997,3123.22365,0.51,3202.535149999999,LOSS,-0.51,354.62
114,ETHUSDT,2026-01-04,3139.4763399999997,3115.63125,0.76,3234.856699999999,WIN_LOCKED,0.76,381.55
115,NEARUSDT,2026-01-05,1.7237219999999998,1.7072910000000001,0.95,1.789445999999998,BREAKEVEN,0.00,381.55
116,DOGEUSDT,2026-01-05,0.15017001999999996,0.14866119,1.00,0.1562053399999998,BREAKEVEN,0.00,381.55
117,DOGEUSDT,2026-01-06,0.15059043999999996,0.1490508,1.02,0.15674899999999978,WIN_LOCKED,1.02,420.56
118,NEARUSDT,2026-01-06,1.7707689999999998,1.750248,1.16,1.8528529999999992,BREAKEVEN,0.00,420.56
119,NEARUSDT,2026-01-07,1.765764,1.750248,0.88,1.8278279999999993,BREAKEVEN,0.00,420.56
120,DOGEUSDT,2026-01-07,0.14672657999999997,0.1449549,1.21,0.15381329999999985,LOSS,-1.21,369.78
121,ETHUSDT,2026-01-07,3163.16,3130.54632,1.03,3293.61472,LOSS,-1.03,331.66
122,DOGEUSDT,2026-01-07,0.14658643999999998,0.14539446,0.81,0.15135435999999994,LOSS,-0.81,304.69
123,ETHUSDT,2026-01-08,3115.59248,3093.5833199999997,0.71,3203.62912,LOSS,-0.71,283.16
124,DOGEUSDT,2026-01-08,0.13986972999999997,0.13809177,1.27,0.14698156999999984,BREAKEVEN,0.00,283.16
125,DOGEUSDT,2026-01-09,0.14037022999999998,0.13959027,0.56,0.14349006999999997,LOSS,-0.56,267.43
126,ETHUSDT,2026-01-09,3091.0579699999994,3074.69223,0.53,3156.520929999996,LOSS,-0.53,253.27
127,NEARUSDT,2026-01-09,1.7107089999999998,1.696302,0.84,1.768336999999999,LOSS,-0.84,231.94
128,NEARUSDT,2026-01-10,1.6866849999999998,1.67832,0.50,1.7201449999999987,LOSS,-0.50,220.44
129,ETHUSDT,2026-01-10,3088.61553,3077.0199,0.38,3134.998050000001,WIN_FULL,1.50,253.54
