Symbol,Entry Date,Exit Date,Entry Price,Stop Loss,Take Profit,Exit Price,Risk %,Exit Reason,PnL %,PnL w/ Leverage,Trailing Level
NEARUSDT,2026-01-28T01:19:00.000Z,2026-01-28T01:22:00.000Z,1.49,1.487,1.5019999999999993,1.487,0.201,Stop Loss,-0.201,-2.01,0
NEARUSDT,2026-01-28T06:00:00.000Z,2026-01-28T08:26:00.000Z,1.485,1.469,1.5490000000000002,1.469,1.077,Stop Loss,-1.077,-10.77,0
NEARUSDT,2026-01-28T09:05:00.000Z,2026-01-28T09:07:00.000Z,1.468,1.467,1.4719999999999995,1.468,0.068,Trailing SL (BE),0.000,0.00,1
NEARUSDT,2026-01-28T09:36:00.000Z,2026-01-28T10:00:00.000Z,1.468,1.464,1.484,1.484,0.272,Take Profit,1.090,10.90,2
ETHUSDT,2026-01-28T10:49:00.000Z,2026-01-28T10:55:00.000Z,3026.16,3024.25,3033.7999999999997,3026.16,0.063,Trailing SL (BE),0.000,0.00,1
DOGEUSDT,2026-01-28T11:40:00.000Z,2026-01-28T12:50:00.000Z,0.1265,0.12608,0.12818000000000002,0.12608,0.332,Stop Loss,-0.332,-3.32,0
ETHUSDT,2026-01-28T11:44:00.000Z,2026-01-28T14:46:00.000Z,3027.76,3014.92,3079.120000000001,3014.92,0.424,Stop Loss,-0.424,-4.24,0
NEARUSDT,2026-01-28T12:01:00.000Z,2026-01-28T12:50:00.000Z,1.487,1.476,1.5310000000000006,1.476,0.740,Stop Loss,-0.740,-7.40,0
NEARUSDT,2026-01-28T12:54:00.000Z,2026-01-28T13:10:00.000Z,1.478,1.476,1.4859999999999998,1.4859999999999998,0.135,Take Profit,0.541,5.41,2
DOGEUSDT,2026-01-28T13:41:00.000Z,2026-01-28T13:53:00.000Z,0.12613,0.12598,0.12672999999999993,0.12627999999999998,0.119,Trailing SL (+1:1),0.119,1.19,2
NEARUSDT,2026-01-28T13:44:00.000Z,2026-01-28T13:58:00.000Z,1.487,1.481,1.5110000000000003,1.481,0.403,Stop Loss,-0.403,-4.03,0
DOGEUSDT,2026-01-28T14:31:00.000Z,2026-01-28T14:47:00.000Z,0.12571,0.12517,0.12786999999999993,0.12517,0.430,Stop Loss,-0.430,-4.30,0
NEARUSDT,2026-01-28T14:35:00.000Z,2026-01-28T15:10:00.000Z,1.481,1.471,1.521,1.471,0.675,Stop Loss,-0.675,-6.75,0
NEARUSDT,2026-01-28T17:44:00.000Z,2026-01-29T02:31:00.000Z,1.474,1.459,1.5339999999999998,1.459,1.018,Stop Loss,-1.018,-10.18,0
DOGEUSDT,2026-01-28T17:52:00.000Z,2026-01-29T01:25:00.000Z,0.12532,0.12372,0.13171999999999995,0.12372,1.277,Stop Loss,-1.277,-12.77,0
ETHUSDT,2026-01-28T19:02:00.000Z,2026-01-28T21:01:00.000Z,3004.36,2989.41,3064.160000000001,3004.36,0.498,Trailing SL (BE),0.000,0.00,1
ETHUSDT,2026-01-28T21:42:00.000Z,2026-01-28T23:58:00.000Z,3014.94,3008.52,3040.6200000000003,3008.52,0.213,Stop Loss,-0.213,-2.13,0
ETHUSDT,2026-01-29T00:48:00.000Z,2026-01-29T01:25:00.000Z,3006.2,2995.94,3047.239999999999,2995.94,0.341,Stop Loss,-0.341,-3.41,0
DOGEUSDT,2026-01-29T02:31:00.000Z,2026-01-29T02:32:00.000Z,0.12336,0.12232,0.12752,0.12232,0.843,Stop Loss,-0.843,-8.43,0
ETHUSDT,2026-01-29T02:31:00.000Z,2026-01-29T02:32:00.000Z,2992.92,2966,3100.6,2966,0.899,Stop Loss,-0.899,-8.99,0
DOGEUSDT,2026-01-29T03:14:00.000Z,2026-01-29T04:10:00.000Z,0.12253,0.12185,0.12525,0.12185,0.555,Stop Loss,-0.555,-5.55,0
ETHUSDT,2026-01-29T04:34:00.000Z,2026-01-29T08:31:00.000Z,2955,2937.55,3024.7999999999993,2964.09,0.591,End of Data,0.308,3.08,0
DOGEUSDT,2026-01-29T05:36:00.000Z,2026-01-29T08:09:00.000Z,0.12165,0.12135,0.12284999999999999,0.12165,0.247,Trailing SL (BE),0.000,0.00,1
NEARUSDT,2026-01-29T07:01:00.000Z,2026-01-29T08:11:00.000Z,1.452,1.436,1.516,1.436,1.102,Stop Loss,-1.102,-11.02,0
