VOLUME IMBALANCE - 3 MINUTE CHART
Period: Dec 1 2025 - Jan 28 2026

Timeframe,3m
Max SL,1.5%
R:R Ratio,1:4

TRADE DETAILS
Trade,Symbol,Date,Entry,Support (SL),Risk %,Result,P&L %,Capital
184,DOGEUSDT,2026-01-15,0.14362347999999997,0.14303682,0.41,LOSS,-0.41,1926.28
185,DOGEUSDT,2026-01-15,0.14375360999999998,0.14320665000000002,0.38,BREAKEVEN,0.00,1926.28
186,NEARUSDT,2026-01-15,1.7937919999999998,1.7792189999999999,0.81,LOSS,-0.81,1769.79
187,DOGEUSDT,2026-01-15,0.14178163999999996,0.14038947,0.98,LOSS,-0.98,1596.01
188,ETHUSDT,2026-01-15,3307.9246199999993,3293.03367,0.45,LOSS,-0.45,1524.16
189,NEARUSDT,2026-01-16,1.7187169999999998,1.7002979999999999,1.07,BREAKEVEN,0.00,1524.16
190,ETHUSDT,2026-01-16,3309.9266199999997,3294.39231,0.47,LOSS,-0.47,1452.63
191,NEARUSDT,2026-01-16,1.7297279999999997,1.706292,1.35,LOSS,-1.35,1255.81
192,DOGEUSDT,2026-01-16,0.13695681999999998,0.13626359999999998,0.51,BREAKEVEN,0.00,1255.81
193,NEARUSDT,2026-01-17,1.75175,1.741257,0.60,WIN_FULL,2.40,1556.71
194,ETHUSDT,2026-01-17,3291.79851,3283.7030099999997,0.25,WIN_FULL,0.98,1709.84
195,DOGEUSDT,2026-01-17,0.13895881999999998,0.13808178000000002,0.63,LOSS,-0.63,1601.93
196,NEARUSDT,2026-01-17,1.7587569999999997,1.751247,0.43,LOSS,-0.43,1533.52
197,DOGEUSDT,2026-01-18,0.13715702,0.13667319,0.35,LOSS,-0.35,1479.43
198,DOGEUSDT,2026-01-18,0.13719705999999998,0.13645341,0.54,LOSS,-0.54,1399.24
199,NEARUSDT,2026-01-18,1.716715,1.709289,0.43,WIN_LOCKED,0.43,1459.76
200,DOGEUSDT,2026-01-18,0.13689675999999998,0.13618368,0.52,LOSS,-0.52,1383.73
201,DOGEUSDT,2026-01-19,0.12743731,0.12667319999999999,0.60,LOSS,-0.60,1300.76
202,ETHUSDT,2026-01-19,3197.5443499999997,3184.812,0.40,WIN_LOCKED,0.40,1352.55
